title,type,material,color,size,dimensions,weight,region,packer_name,price,description,food_preference,no_onion_garlic,shelf_life_days,flavour_variant,speciality_or_feature
"
   			AGRI CLUB Dry Mango Powder, Amchur Powder 1 kg",Powdered_spices,,,,,,India,SHRI HARI INDUSTRIES BIKANER,469.0,"
							Dry mango powder is also known as an amchur powder in India, is a wonderfully aromatic spice that can be used to perk up a variety of dishes. Pale in color and with a tart yet fruity flavor, amchur (also spelled as amchur) is an easy way to add a touch of acidity to dishes when you donâ€t have a lemon on hand. HOW IT IS MADE- Amchur is made from green mangos that are thinly sliced and left to dry in the hot sun. Then they are ground into a powder and used as a spice or tonic to aid in digestion. It is sold in Indian stores but can also be purchased online. COOKING WITH AMCHUR- Dried mango powder is a souring agent so it can be used to flavor braises, stews, soups and vegetable dishes. It is especially delicious when combined with green vegetables like okra, potatoes, stewed lentils and chutneys. It'd be a great way to add a little zing to chili and other dishes that benefit from a dash of citrus. Wheats great is that this spice also tenderizes meat so you can add it to your favorite marinades. A little goes a long way so start with half a teaspoon and taste before adding more. RECIPES WITH AMCHUR- Amchur is commonly used in Northern Indian dishes such as pakoras, fried vegetable dumplings dipped in a spicy chickpea batter.",Vegetarian,,,"Dry Mango Powder, Amchur",Gluten Free
"
   			AGRICLUB Green Chilli Powder 200 gm",Powdered_spices,,,,,,Rajasthan,"Shri Hari Industries, Bikaner, Rajasthan",142.0,"
							Green chilli power is easy to use, easy store, green chilli powder saves you money because of any wastages, It adds spice to the dishes you prepare, it is rich in beta carotene, Vitamin C, Takes less time in preparing your favorite dishes and high shelf life so that you can store them for future.",Vegetarian,,,Green Chilli,
"
   			AGRICLUB Ginger Powder 100 gm",Powdered_spices,,,,,,Rajasthan,"Shri Hari Industries, Bikaner, Rajasthan",137.0,"
							Dry ginger powder is widely used in the kitchen to add flavor and aroma. The powder is extracted from the ginger root which is dried. It is a fine off-white or slightly brownish powder that has a strong aroma and a pungent flavour. Easy to store, ginger powder has a long shelf life of about one year.",Vegetarian,,,Ginger,
"
   			Alco Spices - 50 gm Kashmiri Chilli Powder (Pack of 4)",Powdered_spices,,,,,,India,"Alco Food Private Limited Hirapur, Tendua Road, Post –Tendua, Via, Tatibandh, Raipur, Chhattisgarh 492009",147.0,"
							ALCO  Kashmiri Chilli Powder is made from all Natural ingredients using advanced technology with low grinding temperature to retain its natural flavor notes.",Vegetarian,,,Kashmiri Mirch Powder,Gluten Free
"
   			UPPAL SONS BLACK PEPPER POWDER Powder 400 gm",Powdered_spices,,,,,,India,UPPAL SONS,260.0,"
							BLACK PEPPER POWDER",Vegetarian,,,BLACK PEPPER POWDER,Natural
"
   			AGRI CLUB Tomato Powder 300 gm",Powdered_spices,,,,,,India,"Shri Hari Industries, F-103, Bichwal Ind. Area, Bikaner",187.0,"
							Tomato powder is one of the most common and natural solutions for a beautiful and glowing skin.It lighten the skin tone and protect it from damage.The presence of Vitamin C in tomato improves the collagen production in the skin and prevents the skin from wrinkles and fine lines.Tomato powder is also rich in dietary fiber which aids the digestive tract and promotes a feeling of fullness.",Vegetarian,,,Tomato,
"
   			AGRICLUB Tomato Powder 100 gm",Powdered_spices,,,,,,Rajasthan,"Shri Hari Industries, Bikaner, Rajasthan",106.0,"
							Tomato powder is the perfect supplement to spruce up any dish in need of that classic tomato flavor. It's delicious with eggs, soups, or sauces, and even blended in smoothies. Tomato powder is made from dehydrated tomatoes and delivers a rich source of lycopene, vitamin C, and many other protective nutrients.",Vegetarian,,,Tomato,
"
   			Agri Club Tomato Powder 200 gm",Powdered_spices,,,,,,India,"Shri hari industries, F-103, Bichwal ind. Area, bikaner",196.0,"
							Tomato powder is one of the most common and natural solutions for a beautiful and glowing skin. It lighten the skin tone and protect it from damage. The presence of Vitamin C in tomato improves the collagen production in the skin and prevents the skin from wrinkles and fine lines. Tomato powder is also rich in dietary fiber which aids the digestive tract and promotes a feeling of fullness.",Vegetarian,,,100% Pure Tomato,
"
   			Mirza Sahab Paya Masala Instant Mix 50 gm Pack of 4",Powdered_spices,,,,,,Delhi,"Mirza Sahab, B-5 Nizamuddin West New Delhi-110013",182.0,No description available.,Vegetarian,,,,
"
   			Agri Club Ginger Powder, Sunth Powder 200 gm",Powdered_spices,,,,,,India,"Shri Hari Industries, Bikaner",234.0,"
							Pure and NaturalKeep in a cool and dry place and avoid humidity.Made from Hand Picked Gingers, dried and grounded to best course.",Vegetarian,,365,Ginger,
"
   			Natures Gift - 100 gm Ginger powder (Pack of 1)",Powdered_spices,,,,,,India,"TIRUPATI BALAJI ENTERPRISE, BHAVNAGAR",125.0,"
							Premium Quality | Authentic Spice | Pure & NaturalGinger is a popular ingredient in cooking, and especially in Asian and Indian cuisine.It can be made into a pickle or consumed as ginger tea with honey.It is used in spices and masalas for gravies, curries, marinades, stews etc.It is also used to flavour ginger breads.",Vegetarian,,,Ginger Powder - 3.5 Oz Spice Jar,GMO Free
"
   			UPPAL SONS KACHRI POWDER Powder 800 gm",Powdered_spices,,,,,,Delhi,UPPAL SONS  BG-14  DR.AMBEDKAR NAGAR  NEW DELHI 110062,294.0,"
							Fresh kachri resembles a brown yellow small melon, which grows wildly in the desert areas . Dried kachri powder, when used in cooking, adds a tangy taste. Since fresh kachri is rarely available outside Rajasthan, the use of kachri powder is popular.",Vegetarian,,,KACHRI POWDER,Natural
"
   			Masala Potli Dry Ginger Root Powder | Aadarak Powder | Sonth | Sukku | Shunti Powder 150 gm",Powdered_spices,,,,,,India,Masala Potli INC,160.0,"
							Dry Ginger Root Powder | Aadarak Powder | Sonth | Sukku | Shunti | Shunta || Perfect for Tea, Homemade Spices, Juices",Vegetarian,,,Dry Ginger Root Powder | Aadarak Powder | Sonth | Sukku | Shunti,
"
   			UPPAL SONS YELLOW CHILLY POWDER Powder 500 gm",Powdered_spices,,,,,,Delhi,UPPAL SONS  BG-14  DR. AMBEDKAR NAGAR  NEW DELHI  110062,337.0,"
							Yellow chilies are used as spices to enhance color and piquancy to the dishes. The yellow variety of chili is mainly grown in the regions of Punjab and South Kashmir. Yellow chili powder is extensively used in vegetarian and non-vegetarian dishes.",Vegetarian,,,YELLOW CHILLY POWDER,Natural
"
   			Alco Spices - 200 gm Chicken Masala Powder (Pack of 1)",Powdered_spices,,,,,,India,"Alco Food Private Limited Hirapur, Tendua Road, Post –Tendua, Via, Tatibandh, Raipur, Chhattisgarh 492009",147.0,"
							ALCO Chicken Masala Powder is made from all Natural ingredients using advanced technology with low grinding temperature to retain its natural flavor notes.",Vegetarian,,,Chicken Masala,Gluten Free
"
   			Nutrixia Food  Arjun ki Chaal Powder- Terminalia Arjuna Powder 250 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,142.0,"
							 Arjun ki Chaal Powder- Terminalia Arjuna- Arjun chal powder",Vegetarian,,,Arjun ki Chaal Powder- Terminalia Arjuna,Natural
"
   			Agri Club Moringa Seed Powder 200 gm",Powdered_spices,,,,,,Rajasthan,"Shri Hari Industries, F-103, Bichwal Ind. Area, Bikaner, Rajasthan",179.0,"
							Organic | sustainable source | Non GMO | KosherMoringa leaves are an excellent source of many vitamins and minerals.Moringa leaves are Rich in AntioxidantsMoringa leaves powder can be used for internal (Orally) and external (on hair & skin).",Vegetarian,,,Moringa,
"
   			UPPAL SONS JALJEERA POWDER Powder 400 gm",Powdered_spices,,,,,,India,UPPAL SONS,168.0,"
							JALJEERA powder or cumin seed cooler is a delicious spicy appetiser drink comprising of black salt, salt, dry mango, cumin, citric acid, mint leaves, black pepper, dry ginger, compounded asafoetida, mixed spices. To prepare, simply add 2 tsp jaljeera powder to a glasss of cold water and stir. This masala can also be used for sprinkling on Dahi Vada. A refreshing drink , Jaljeera powder tastes good and contins no added artificial colours or flavourings.",Vegetarian,,,JALJEERA POWDER,Natural
"
   			Nutrixia Food Nagkesar Churna Powder nag kesar powder  Powder 50 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,116.0,"
							Nagkesar Churna Powder nag kesar powder - ochrocarpus longifolius",Vegetarian,,,Nagkesar Churna Powder nag kesar powder,Natural
"
   			UPPAL SONS GREEN CARDAMUM POWDER Powder 50 gm",Powdered_spices,,,,,,India,UPPAL SONS,286.0,"
							GREEN CARDAMUM POWDER",Vegetarian,,,GREEN CARDAMUM POWDER,Natural
"
   			Nutrixia Food Khandsari / Desi Khand Powder Powder 980 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,315.0,"
							Khandsari / Desi Khand Powder",Vegetarian,,,Khandsari / Desi Khand Powder,Natural
"
   			Natures Gift Cheddar Cheese Powder (Off White + Orange) & Regular Cheese Powder - 100g / 3.5 Oz Sprinkle Jar Powder 300 gm",Powdered_spices,,,,,,India,"TIRUPATI BALAJI ENTERPRISE, BHAVNAGAR",428.0,"
							Pure & Natural Premium Quality | 3 Cheese Combo PackContains Cheddar Cheese (Off White + Orange) & Regular Cheese Powder - 100 GM EachMakes a delicious and velvety smooth sauce for pasta, casseroles, or vegetables.It can also be sprinkled on popcorn, chips, pasta, baked potatoes, and other snacks for a cheesy kick!It can be added to pizza seasoning or any other seasoning to give extra cheesy kick.Add it on any meals for extra cheesy flavor.",Vegetarian,,,Orange) & Regular Cheese Powder - 100g / 3.5 Oz Sprinkle Jar,GMO Free
"
   			UPPAL SONS - 500 gm Laal Mirch (Red Chili) (Pack of 1)",Powdered_spices,,,,,,India,UPPAL SONS,255.0,"
							MIRCH KUTTI",Vegetarian,,,MIRCH KUTTI,Natural
"
   			Agri Club Dry Ginger/ Sunth Powder 200gm",Powdered_spices,,,,,,Rajasthan,"Shri Hari Industries, Bikaner, Rajasthan",234.0,"
							Package Contain: Suth Powder (Dry Ginger) 100 gmWholesome flavour of authentic spicesFinest qualityCountry of Origin: India",Vegetarian,,,Ginger,
"
   			UPPAL SONS SAUNF POWDER Powder 400 gm",Powdered_spices,,,,,,India,UPPAL SONS,168.0,"
							SAUNF POWDER",Vegetarian,,,SAUNF POWDER,Natural
"
   			Nutrixia Food Ginger Powder -Sunth churna- Suntha  Powder 100 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,128.0,"
							Ginger Powder -Sunth churna- Suntha - Zingiber officinale",Vegetarian,,,Ginger Powder -Sunth churna- Suntha,Natural
"
   			AGRICLUB Kachri Powder 200 gm",Powdered_spices,,,,,,Rajasthan,"Shri Hari Industries, Bikaner, Rajasthan",226.0,"
							Kachri is a wild variety of cucumbers. Fresh kachri resembles a brown yellow small melon, which grows wildly in the desert areas and is seldom as a crop. Dried kachri powder, when used in cooking, adds a tangy taste.",Vegetarian,,,Kachri,
"
   			Mirza Sahab Chicken Nugget Mix Instant Mix 150 gm Pack of 4",Powdered_spices,,,,,,Delhi,"Mirza Sahab, B-5 Nizamuddin West New Delhi-110013",263.0,No description available.,Vegetarian,,,,
"
   			Nutrixia Food Punarnava Roots Powder churna- Sathi Jadd Powder 980 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,430.0,"
							Punarnava Roots Powder churna- Sathi Jadd - Boerhavia Diffusa",Vegetarian,,,Punarnava Roots Powder churna- Sathi Jadd,Natural
"
   			AGRICLUB Carrot Powder 400 gm",Powdered_spices,,,,,,Rajasthan,"Shri Hari Industries, Bikaner, Rajasthan",260.0,"
							Carrot powder is made from pieces of carrot that have been dehydrated and then ground up finely. You can use it as you would a spice in cooking, or as you would a flavour and nutrition-enhancing powder in breads and cakes, etc.",Vegetarian,,,Carrot,
"
   			Agri Club Dry Ginger Powder , Sunth Powder 400gm",Powdered_spices,,,,,,India,shri hari industries,376.0,"
							These are carefully packed while using particular food grade packaging material to preserve both the freshness and increase the longer shelf life. Products are quality tested and can be availed from us at best affordable prices. We are well recognized as a prestigious association, engaged in importing as well exporting nutritious range of groceries.",Vegetarian,,,Dried Ginger,Gluten Free
"
   			Agri Club Coriander Cumin Powder 500gm",Powdered_spices,,,,,,India,"Shri hari industries, F-103, Bichwal ind. Area, bikaner",274.0,"
							Makes any dish specialTurns any vegetable into a tasty treatHandpicked from freshest spices.Store in cool and dry place.",Vegetarian,,,Coriander Cumin Powder,
"
   			UPPAL SONS - 400 gm Coriander Powder (Pack of 1)",Powdered_spices,,,,,,India,UPPAL SONS,140.0,"
							DHANIA POWDER",Vegetarian,,,DHANIA POWDER,Natural
"
   			UPPAL SONS - 50 gm Nutmeg/Jaifal powder (Pack of 1)",Powdered_spices,,,,,,India,UPPAL SONS,142.0,"
							JAIFAL POWDER / NUTMEG POWDER",Vegetarian,,,NUTMEG POWDER / JAIFAL POWDER,Natural
"
   			Nutrixia Food - 100 gm Camphor Powder (Pack of 1)",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,177.0,"
							Camphor Powder - Kapoor powder - Kapur ",Vegetarian,,,Camphor Powder - Kapoor - Kapur,Natural
"
   			AGRI CLUB Ashwagandha Powder 200 gm",Powdered_spices,,,,,,India,"Shri hari industries, F-103, Bichwal ind. Area, bikaner",232.0,"
							Contents : 200 GmsA Pure Natural & Organic ProductSupports Healthy Immune SystemIt Is A Strong RejuvenativeSuggested Dosage : 5 Gms Twice Daily With MilkCountry of Origin: India",Vegetarian,,,Ashwagandha,
"
   			UPPAL SONS JAIFAL POWDER Powder 100 gm",Powdered_spices,,,,,,India,UPPAL SONS,258.0,"
							JAIFAL POWDER",Vegetarian,,,JAIFAL POWDER,Natural
"
   			UPPAL SONS BLACK PEPPER POWDER Powder 900 gm",Powdered_spices,,,,,,India,UPPAL SONS,604.0,"
							BLACK PEPPER POWDER",Vegetarian,,,BLACK PEPPER POWDER,Natural
"
   			AGRI CLUB Mulethi Powder 200 gm",Powdered_spices,,,,,,Rajasthan,"Shri Hari Industries, F-103, Bichwal Ind. Area, Bikaner, Rajasthan",201.0,"
							100% chemical free powder with no additives, synthetics and other harsh metals.Mulethi Edible Powder: Consumption of mulethi boosts immunity and helps to improve cough and cold.Mulethi powder for skin whitening: Helps to lighten sun tan and minimizes blemishes and marks.Mulethi powder for hair helps to removes all traces of dirt and excess oil accumulated on scalp.Fades dark spots, acne breakouts and help to maintain a healthy glowing skin.",Vegetarian,,,Mulethi,
"
   			Agri Club Dry Ginger Powder, Sunth Powder 100gm",Powdered_spices,,,,,,Rajasthan,"Shri Hari Industries, Bikaner, Rajasthan",137.0,"
							All-natural and farm-fresh.No added chemicals, polish and colors.Hygienic packing and best quality control processes.Packed with natural flavor and taste.",Vegetarian,,,Natural,
"
   			Nutrixia Food  Indrajav Powder, Indrajau Kadwa Powder 50 gm",Powdered_spices,,,,,,Mumbai,Nutrixia Food Navi Mumbai,116.0,"
							 Indrajav Powder, Indrajau churna , Indrajav Kadwa Seed",Vegetarian,,,"Indrajav Powder, Indrajau Kadwa",Natural
"
   			Agri Club Ajinomoto 100gm",Powdered_spices,,,,,,India,shri hari industries,114.0,"
							Glutamates or Ajinomoto is a salt widely used in Chinese cuisine to enhance flavors, hence popularly called the 'flavor enhancer'. It can be used in a wide variety of industries including: food production, beverage, and various other industries. Glutamates occur naturally in protein foods such as meat, fish, poultry, and vegetables. Free glutamates are found in foods like tomatoes, tomato paste, cheese, and mushrooms. So, many natural foods which we add to dishes to make them tasty are high in free glutamate. Glutamates are added to food to enhance its flavour. They are added in the form of MSG in vegetable protein, yeast extracts, flavors and fermented soy products such as soy sauce. Common foods that can contain added MSG include savoury foods such as stocks, seasonings, soup, sauces and savoury snacks/meals.",Vegetarian,,,Ajinomoto,Gluten Free
